ts,mber,aer,moer,cmer,lrmer,lrmer_c
2013-08-12 01:00:00,2.3339940870593794e-07,2.571387265177108e-06,0.0,1.1669970435296897e-07,-6.196254400719242e-07,-3.1506717307258976e-07
2013-08-12 02:00:00,2.306781965341326e-07,2.6085906919101938e-06,3.167861633318944e-06,1.6992699149265383e-06,-6.224224789281287e-07,-3.1642952985335803e-07
2013-08-12 03:00:00,2.258444007575337e-07,2.5644575790041536e-06,3.662769721533769e-06,1.9443070611456514e-06,-6.2865323074026e-07,-3.101241306079042e-07
2013-08-12 04:00:00,2.178596213437942e-07,2.692365742045536e-06,3.167861633318944e-06,1.6928606273313692e-06,-6.198852326001188e-07,-2.568682629822756e-07
2013-08-12 05:00:00,2.0653521683616078e-07,3.02555285001938e-06,4.157677809748594e-06,2.182106513292377e-06,-6.206360163491517e-07,-2.6602594425010645e-07
2013-08-12 06:00:00,5.1593394931031495e-08,7.583844332273578e-07,4.237627416820699e-06,2.1446104058758652e-06,-5.693776005860043e-07,-4.5829360043211396e-07
2013-08-12 07:00:00,5.510181091807706e-09,3.284801009278968e-08,0.0,2.755090545903853e-09,-1.5074310897139778e-07,-1.8734780047523385e-07
2013-08-12 08:00:00,3.074783859913438e-09,1.3753046937121082e-08,0.0,1.537391929956719e-09,-1.6671053361610245e-07,-2.1225707516138135e-07
2013-08-12 09:00:00,2.5952533366666082e-09,1.1150764244723872e-08,0.0,1.2976266683333041e-09,-1.5982159406065724e-07,-1.822327190937413e-07
2013-08-12 10:00:00,2.4848064089438882e-09,1.1825057059723749e-08,0.0,1.2424032044719441e-09,-1.58603720241851e-07,-1.979829171934993e-07
2013-08-12 11:00:00,2.4952404411443374e-09,1.1794445414581265e-08,0.0,1.2476202205721687e-09,-1.614023729261324e-07,-1.786148164910901e-07
2013-08-12 12:00:00,2.525901771307309e-09,1.1895715156738945e-08,0.0,1.2629508856536542e-09,-1.597808693949816e-07,-2.041464356130204e-07
2013-08-12 13:00:00,2.539142270394476e-09,1.1964205356415577e-08,0.0,1.269571135197238e-09,-1.5681033843287354e-07,-2.1902481896965242e-07
2013-08-12 14:00:00,2.540354651393431e-09,1.036953983731136e-08,0.0,1.2701773256967154e-09,-1.5396484608920886e-07,-1.0450999073138016e-07
2013-08-12 15:00:00,2.6081688950440054e-09,1.062367469304082e-08,0.0,1.3040844475220027e-09,-1.5571829931883682e-07,-1.8233221371957087e-07
